BME Probabilistic data
8    NOTE: The actual number of columns varies from line to line
s1
s2
s3
code for the variable (equal to one)
Type of soft pdf (equal to 2, corresponding to linear)
number of limit values, nl
limits of intervals (nl values)
probability density (nl values)
              4               6               8   1  2    4   3.26077   3.50087   3.58067   5.22118           0 0.980289 0.980289 0 
              8               2               6   1  2    4   3.29271   3.41801   4.01287   5.24345           0 0.78567 0.78567 0 
              6               2               2   1  2    4   4.04485   4.24939   4.40447   5.51092           0 1.23369 1.23369 0 
              8              10               6   1  2    4    4.0825   4.16053    4.4417   6.31899           0 0.79439 0.79439 0 
              6               4               2   1  2    4   4.21168   4.34578   4.35928   7.20449           0 0.665267 0.665267 0 
              0               6               2   1  2    4  0.852292   1.10159    1.6096   2.29803           0 1.02367 1.02367 0 
              0               4               4   1  2    4   3.50011   3.62823   3.92794   6.17281           0 0.672855 0.672855 0 
              4               0               2   1  2    4    3.9428   4.21334   4.83434   6.32877           0 0.665121 0.665121 0 
              2              10               6   1  2    4   2.27003   2.37415   2.61224   3.70715           0 1.19388 1.19388 0 
              8               0               2   1  2    4   2.00452   2.20926   2.68668   2.80688           0 1.56277 1.56277 0 
              4               8               8   1  2    4   4.12041   4.21204    4.7658   5.28698           0 1.16256 1.16256 0 
