File with hard data
4
x
y
z
Variable 1
           8            4            0  4.749140133 
           0           10            6  3.134197737 
           0            8            6    3.3527939 
           4            0            6  2.220273062 
           6            4            4  3.395650393 
           2            4            2  2.522469275 
           4           10            4   3.95871459 
           0            8            0  4.176486017 
           2            4            6 0.9487658399 
           4            8            2   2.61668187 
